# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.90  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.90  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.90  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.90  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.90  0.000000000000000E+00  0.000000000000000E+00 0	   1      -5.00      -4.90  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.90      -4.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.90      -4.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.90      -4.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.90      -4.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.90      -4.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.90      -4.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.90      -4.80  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.80      -4.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.80      -4.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.80      -4.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.80      -4.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.80      -4.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.80      -4.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.80      -4.70  0.000000000000000E+00  0.000000000000000E+00 0
   4      -4.70      -4.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -4.70      -4.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -4.70      -4.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -4.70      -4.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -4.70      -4.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -4.70      -4.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -4.70      -4.60  0.000000000000000E+00  0.000000000000000E+00 0
   5      -4.60      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -4.60      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -4.60      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -4.60      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -4.60      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -4.60      -4.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -4.60      -4.50  0.000000000000000E+00  0.000000000000000E+00 0
   6      -4.50      -4.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -4.50      -4.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -4.50      -4.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -4.50      -4.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -4.50      -4.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -4.50      -4.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -4.50      -4.40  0.000000000000000E+00  0.000000000000000E+00 0
   7      -4.40      -4.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -4.40      -4.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -4.40      -4.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -4.40      -4.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -4.40      -4.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -4.40      -4.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -4.40      -4.30  0.000000000000000E+00  0.000000000000000E+00 0
   8      -4.30      -4.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -4.30      -4.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -4.30      -4.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -4.30      -4.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -4.30      -4.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -4.30      -4.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -4.30      -4.20  0.000000000000000E+00  0.000000000000000E+00 0
   9      -4.20      -4.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -4.20      -4.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -4.20      -4.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -4.20      -4.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -4.20      -4.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -4.20      -4.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -4.20      -4.10  0.000000000000000E+00  0.000000000000000E+00 0
  10      -4.10      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -4.10      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -4.10      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -4.10      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -4.10      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -4.10      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -4.10      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
