# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      40.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      40.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      40.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      40.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      40.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      40.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      40.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      50.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      50.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      50.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      50.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      50.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      50.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      50.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      60.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   7      60.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   7      60.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   7      60.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   7      60.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   7      60.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0	   7      60.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   8      70.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   8      70.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   8      70.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   8      70.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   8      70.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   8      70.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   8      70.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0
   9      80.00      90.00  0.000000000000000E+00  0.000000000000000E+00 0	   9      80.00      90.00  0.000000000000000E+00  0.000000000000000E+00 0	   9      80.00      90.00  0.000000000000000E+00  0.000000000000000E+00 0	   9      80.00      90.00  0.000000000000000E+00  0.000000000000000E+00 0	   9      80.00      90.00  0.000000000000000E+00  0.000000000000000E+00 0	   9      80.00      90.00  0.000000000000000E+00  0.000000000000000E+00 0	   9      80.00      90.00  0.000000000000000E+00  0.000000000000000E+00 0
  10      90.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      90.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      90.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      90.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      90.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      90.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      90.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     100.00     110.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     100.00     110.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     100.00     110.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     100.00     110.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     100.00     110.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     100.00     110.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     100.00     110.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     110.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     110.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     110.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     110.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     110.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     110.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     110.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     120.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	  13     120.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	  13     120.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	  13     120.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	  13     120.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	  13     120.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0	  13     120.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
  14     130.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0	  14     130.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0	  14     130.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0	  14     130.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0	  14     130.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0	  14     130.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0	  14     130.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
  15     140.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	  15     140.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	  15     140.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	  15     140.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	  15     140.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	  15     140.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	  15     140.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0
  16     150.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	  16     150.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	  16     150.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	  16     150.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	  16     150.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	  16     150.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	  16     150.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0
