# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      50.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     100.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     150.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     200.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     250.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     300.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     350.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     400.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     450.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
